085	I	001	2105
086	E	006	132.5
087	E	006	114
088	E	006	114
089	I	001	2350
090	E	006	109
127	E	006	153.5
121	E	006	132
005	E	007	185
004	E	007	92.5
012	E	007	185
013	E	007	185
014	E	007	185
016	E	007	46.25
017	E	007	46.25
018	E	007	46.25
019	E	007	46.25
020	E	007	46.25
021	E	007	46.25
023	E	007	92.5
025	E	007	92.5
028	E	007	185
029	E	007	46.25
034	E	007	185
078	E	007	185
035	E	007	92.5
036	E	007	185
037	E	007	185
040	E	007	92.5
043	E	007	290
044	E	007	92.5
046	E	007	185
047	E	007	92.5
048	E	007	92.5
049	E	007	92.5
052	E	007	92.5
056	E	007	46.25
